Wavelength,n,k,n,k,n
529.6,1.46694,0.002,2.450296897,1.27E-07,1.483910891
530.4,1.46691,0.002,2.449625935,1.22E-07,1.483838026
531.2,1.46688,0.002,2.448954973,1.18E-07,1.483768939
532,1.46684,0.00199,2.44828933,1.13E-07,1.483699851
532.8,1.46681,0.00199,2.447634217,1.09E-07,1.483630764
533.6,1.46678,0.00199,2.446979104,1.05E-07,1.483561676
534.4,1.46675,0.00198,2.446323991,1.01E-07,1.483492589
535.2,1.46671,0.00198,2.445676312,9.69E-08,1.483423502
536,1.46668,0.00198,2.44503659,9.35E-08,1.483354414
536.7,1.46665,0.00197,2.444396868,9.00E-08,1.483285327
537.5,1.46662,0.00197,2.443757147,8.65E-08,1.483216239
538.3,1.46658,0.00197,2.443126516,8.34E-08,1.483147152
539.1,1.46655,0.00196,2.442501744,8.04E-08,1.483078064
539.9,1.46652,0.00196,2.441876973,7.74E-08,1.483008977
540.7,1.46649,0.00196,2.441252201,7.45E-08,1.482939889
541.5,1.46646,0.00196,2.440637754,7.18E-08,1.482870802
542.3,1.46643,0.00195,2.440027508,6.93E-08,1.48280194
543.1,1.4664,0.00195,2.439417262,6.67E-08,1.482737309
543.9,1.46637,0.00195,2.438807016,6.42E-08,1.482672678
544.7,1.46633,0.00194,2.438207935,6.20E-08,1.482608047
545.5,1.4663,0.00194,2.437611805,5.98E-08,1.482543417
546.3,1.46627,0.00194,2.437015674,5.77E-08,1.482478786
547.1,1.46624,0.00193,2.436419544,5.55E-08,1.482414155
547.9,1.46621,0.00193,2.435835056,5.37E-08,1.482349524
548.7,1.46618,0.00193,2.435252645,5.18E-08,1.482284893
549.5,1.46615,0.00193,2.434670234,4.99E-08,1.482220262
550.3,1.46612,0.00192,2.434087823,4.81E-08,1.482155631
551.1,1.46609,0.00192,2.433517196,4.65E-08,1.482091
551.9,1.46606,0.00192,2.432948123,4.49E-08,1.482026369
